CEE eTOF det-fee channel map,,,,,
Note that the first 3 lines will be passed,,,,,
detid,stripid,sideid,feeid,channelid,globalid
0,0,0,4,0,0
0,1,0,4,1,1
0,2,0,4,2,2
0,3,0,4,3,3
0,4,0,4,4,4
0,5,0,4,5,5
0,6,0,4,6,6
0,7,0,4,7,7
0,8,0,4,8,8
0,9,0,4,9,9
0,10,0,4,10,10
0,11,0,4,11,11
0,12,0,4,12,12
0,13,0,4,13,13
0,14,0,4,14,14
0,15,0,4,15,15
0,15,1,7,0,48
0,14,1,7,1,49
0,13,1,7,2,50
0,12,1,7,3,51
0,11,1,7,4,52
0,10,1,7,5,53
0,9,1,7,6,54
0,8,1,7,7,55
0,7,1,7,8,56
0,6,1,7,9,57
0,5,1,7,10,58
0,4,1,7,11,59
0,3,1,7,12,60
0,2,1,7,13,61
0,1,1,7,14,62
0,0,1,7,15,63
1,15,0,6,0,32
1,14,0,6,1,33
1,13,0,6,2,34
1,12,0,6,3,35
1,11,0,6,4,36
1,10,0,6,5,37
1,9,0,6,6,38
1,8,0,6,7,39
1,7,0,6,8,40
1,6,0,6,9,41
1,5,0,6,10,42
1,4,0,6,11,43
1,3,0,6,12,44
1,2,0,6,13,45
1,1,0,6,14,46
1,0,0,6,15,47
1,0,1,5,0,16
1,1,1,5,1,17
1,2,1,5,2,18
1,3,1,5,3,19
1,4,1,5,4,20
1,5,1,5,5,21
1,6,1,5,6,22
1,7,1,5,7,23
1,8,1,5,8,24
1,9,1,5,9,25
1,10,1,5,10,26
1,11,1,5,11,27
1,12,1,5,12,28
1,13,1,5,13,29
1,14,1,5,14,30
1,15,1,5,15,31
2,0,1,0,15,64
2,1,1,0,14,65
2,2,1,0,13,66
2,3,1,0,12,67
2,4,1,0,11,68
2,5,1,0,10,69
2,6,1,0,9,70
2,7,1,0,8,71
2,0,0,1,8,96
2,1,0,1,9,97
2,2,0,1,10,98
2,3,0,1,11,99
2,4,0,1,12,100
2,5,0,1,13,101
2,6,0,1,14,102
2,7,0,1,15,103
3,0,1,2,15,128
3,1,1,2,14,129
3,2,1,2,13,130
3,3,1,2,12,131
3,4,1,2,11,132
3,5,1,2,10,133
3,6,1,2,9,134
3,7,1,2,8,135
3,0,0,3,8,160
3,1,0,3,9,161
3,2,0,3,10,162
3,3,0,3,11,163
3,4,0,3,12,164
3,5,0,3,13,165
3,6,0,3,14,166
3,7,0,3,15,167
