CEE iTOF det-fee channel map,,,,,
Note that the first 3 lines will be passed,,,,,
detid,stripid,sideid,feeid,channelid,globalid
0,24,1,0,0,0
0,31,0,1,0,1
0,8,1,2,0,2
0,15,0,3,0,3
0,25,1,0,1,4
0,30,0,1,1,5
0,9,1,2,1,6
0,14,0,3,1,7
0,26,1,0,2,8
0,29,0,1,2,9
0,10,1,2,2,10
0,13,0,3,2,11
0,27,1,0,3,12
0,28,0,1,3,13
0,11,1,2,3,14
0,12,0,3,3,15
0,28,1,0,4,16
0,27,0,1,4,17
0,12,1,2,4,18
0,11,0,3,4,19
0,29,1,0,5,20
0,26,0,1,5,21
0,13,1,2,5,22
0,10,0,3,5,23
0,30,1,0,6,24
0,25,0,1,6,25
0,14,1,2,6,26
0,9,0,3,6,27
0,31,1,0,7,28
0,24,0,1,7,29
0,15,1,2,7,30
0,8,0,3,7,31
0,16,1,0,8,32
0,23,0,1,8,33
0,0,1,2,8,34
0,7,0,3,8,35
0,17,1,0,9,36
0,22,0,1,9,37
0,1,1,2,9,38
0,6,0,3,9,39
0,18,1,0,10,40
0,21,0,1,10,41
0,2,1,2,10,42
0,5,0,3,10,43
0,19,1,0,11,44
0,20,0,1,11,45
0,3,1,2,11,46
0,4,0,3,11,47
0,20,1,0,12,48
0,19,0,1,12,49
0,4,1,2,12,50
0,3,0,3,12,51
0,21,1,0,13,52
0,18,0,1,13,53
0,5,1,2,13,54
0,2,0,3,13,55
0,22,1,0,14,56
0,17,0,1,14,57
0,6,1,2,14,58
0,1,0,3,14,59
0,23,1,0,15,60
0,16,0,1,15,61
0,7,1,2,15,62
0,0,0,3,15,63
1,24,1,4,0,64
1,31,0,5,0,65
1,8,1,6,0,66
1,15,0,7,0,67
1,25,1,4,1,68
1,30,0,5,1,69
1,9,1,6,1,70
1,14,0,7,1,71
1,26,1,4,2,72
1,29,0,5,2,73
1,10,1,6,2,74
1,13,0,7,2,75
1,27,1,4,3,76
1,28,0,5,3,77
1,11,1,6,3,78
1,12,0,7,3,79
1,28,1,4,4,80
1,27,0,5,4,81
1,12,1,6,4,82
1,11,0,7,4,83
1,29,1,4,5,84
1,26,0,5,5,85
1,13,1,6,5,86
1,10,0,7,5,87
1,30,1,4,6,88
1,25,0,5,6,89
1,14,1,6,6,90
1,9,0,7,6,91
1,31,1,4,7,92
1,24,0,5,7,93
1,15,1,6,7,94
1,8,0,7,7,95
1,16,1,4,8,96
1,23,0,5,8,97
1,0,1,6,8,98
1,7,0,7,8,99
1,17,1,4,9,100
1,22,0,5,9,101
1,1,1,6,9,102
1,6,0,7,9,103
1,18,1,4,10,104
1,21,0,5,10,105
1,2,1,6,10,106
1,5,0,7,10,107
1,19,1,4,11,108
1,20,0,5,11,109
1,3,1,6,11,110
1,4,0,7,11,111
1,20,1,4,12,112
1,19,0,5,12,113
1,4,1,6,12,114
1,3,0,7,12,115
1,21,1,4,13,116
1,18,0,5,13,117
1,5,1,6,13,118
1,2,0,7,13,119
1,22,1,4,14,120
1,17,0,5,14,121
1,6,1,6,14,122
1,1,0,7,14,123
1,23,1,4,15,124
1,16,0,5,15,125
1,7,1,6,15,126
1,0,0,7,15,127
2,24,1,8,0,128
2,31,0,9,0,129
2,8,1,10,0,130
2,15,0,11,0,131
2,25,1,8,1,132
2,30,0,9,1,133
2,9,1,10,1,134
2,14,0,11,1,135
2,26,1,8,2,136
2,29,0,9,2,137
2,10,1,10,2,138
2,13,0,11,2,139
2,27,1,8,3,140
2,28,0,9,3,141
2,11,1,10,3,142
2,12,0,11,3,143
2,28,1,8,4,144
2,27,0,9,4,145
2,12,1,10,4,146
2,11,0,11,4,147
2,29,1,8,5,148
2,26,0,9,5,149
2,13,1,10,5,150
2,10,0,11,5,151
2,30,1,8,6,152
2,25,0,9,6,153
2,14,1,10,6,154
2,9,0,11,6,155
2,31,1,8,7,156
2,24,0,9,7,157
2,15,1,10,7,158
2,8,0,11,7,159
2,16,1,8,8,160
2,23,0,9,8,161
2,0,1,10,8,162
2,7,0,11,8,163
2,17,1,8,9,164
2,22,0,9,9,165
2,1,1,10,9,166
2,6,0,11,9,167
2,18,1,8,10,168
2,21,0,9,10,169
2,2,1,10,10,170
2,5,0,11,10,171
2,19,1,8,11,172
2,20,0,9,11,173
2,3,1,10,11,174
2,4,0,11,11,175
2,20,1,8,12,176
2,19,0,9,12,177
2,4,1,10,12,178
2,3,0,11,12,179
2,21,1,8,13,180
2,18,0,9,13,181
2,5,1,10,13,182
2,2,0,11,13,183
2,22,1,8,14,184
2,17,0,9,14,185
2,6,1,10,14,186
2,1,0,11,14,187
2,23,1,8,15,188
2,16,0,9,15,189
2,7,1,10,15,190
2,0,0,11,15,191
3,24,1,12,0,192
3,31,0,13,0,193
3,8,1,14,0,194
3,15,0,15,0,195
3,25,1,12,1,196
3,30,0,13,1,197
3,9,1,14,1,198
3,14,0,15,1,199
3,26,1,12,2,200
3,29,0,13,2,201
3,10,1,14,2,202
3,13,0,15,2,203
3,27,1,12,3,204
3,28,0,13,3,205
3,11,1,14,3,206
3,12,0,15,3,207
3,28,1,12,4,208
3,27,0,13,4,209
3,12,1,14,4,210
3,11,0,15,4,211
3,29,1,12,5,212
3,26,0,13,5,213
3,13,1,14,5,214
3,10,0,15,5,215
3,30,1,12,6,216
3,25,0,13,6,217
3,14,1,14,6,218
3,9,0,15,6,219
3,31,1,12,7,220
3,24,0,13,7,221
3,15,1,14,7,222
3,8,0,15,7,223
3,16,1,12,8,224
3,23,0,13,8,225
3,0,1,14,8,226
3,7,0,15,8,227
3,17,1,12,9,228
3,22,0,13,9,229
3,1,1,14,9,230
3,6,0,15,9,231
3,18,1,12,10,232
3,21,0,13,10,233
3,2,1,14,10,234
3,5,0,15,10,235
3,19,1,12,11,236
3,20,0,13,11,237
3,3,1,14,11,238
3,4,0,15,11,239
3,20,1,12,12,240
3,19,0,13,12,241
3,4,1,14,12,242
