CEE iTOF det-fee channel map,,,,,
Note that the first 3 lines will be passed,,,,,
detid,stripid,sideid,feeid,channelid,globalid
1,23,0,3,0,0
1,16,1,0,0,1
0,23,0,1,0,2
0,16,1,2,0,3
1,22,0,3,1,4
1,17,1,0,1,5
0,22,0,1,1,6
0,17,1,2,1,7
1,21,0,3,2,8
1,18,1,0,2,9
0,21,0,1,2,10
0,18,1,2,2,11
1,20,0,3,3,12
1,19,1,0,3,13
0,20,0,1,3,14
0,19,1,2,3,15
1,19,0,3,4,16
1,20,1,0,4,17
0,19,0,1,4,18
0,20,1,2,4,19
1,18,0,3,5,20
1,21,1,0,5,21
0,18,0,1,5,22
0,21,1,2,5,23
1,17,0,3,6,24
1,22,1,0,6,25
0,17,0,1,6,26
0,22,1,2,6,27
1,16,0,3,7,28
1,23,1,0,7,29
0,16,0,1,7,30
0,23,1,2,7,31
1,31,0,3,8,32
1,24,1,0,8,33
0,31,0,1,8,34
0,24,1,2,8,35
1,30,0,3,9,36
1,25,1,0,9,37
0,30,0,1,9,38
0,25,1,2,9,39
1,29,0,3,10,40
1,26,1,0,10,41
0,29,0,1,10,42
0,26,1,2,10,43
1,28,0,3,11,44
1,27,1,0,11,45
0,28,0,1,11,46
0,27,1,2,11,47
1,27,0,3,12,48
1,28,1,0,12,49
0,27,0,1,12,50
0,28,1,2,12,51
1,26,0,3,13,52
1,29,1,0,13,53
0,26,0,1,13,54
0,29,1,2,13,55
1,25,0,3,14,56
1,30,1,0,14,57
0,25,0,1,14,58
0,30,1,2,14,59
1,24,0,3,15,60
1,31,1,0,15,61
0,24,0,1,15,62
0,31,1,2,15,63
