CEE iTOF det-fee channel map,,,,,
Note that the first 3 lines will be passed,,,,,
detid,stripid,sideid,feeid,channelid,globalid
1,23,1,1,0,0
1,16,0,0,0,1
0,23,1,3,0,2
0,16,0,2,0,3
1,7,1,5,0,4
1,0,0,4,0,5
0,7,1,7,0,6
0,0,0,6,0,7
1,22,1,1,1,8
1,17,0,0,1,9
0,22,1,3,1,10
0,17,0,2,1,11
1,6,1,5,1,12
1,1,0,4,1,13
0,6,1,7,1,14
0,1,0,6,1,15
1,21,1,1,2,16
1,18,0,0,2,17
0,21,1,3,2,18
0,18,0,2,2,19
1,5,1,5,2,20
1,2,0,4,2,21
0,5,1,7,2,22
0,2,0,6,2,23
1,20,1,1,3,24
1,19,0,0,3,25
0,20,1,3,3,26
0,19,0,2,3,27
1,4,1,5,3,28
1,3,0,4,3,29
0,4,1,7,3,30
0,3,0,6,3,31
1,19,1,1,4,32
1,20,0,0,4,33
0,19,1,3,4,34
0,20,0,2,4,35
1,3,1,5,4,36
1,4,0,4,4,37
0,3,1,7,4,38
0,4,0,6,4,39
1,18,1,1,5,40
1,21,0,0,5,41
0,18,1,3,5,42
0,21,0,2,5,43
1,2,1,5,5,44
1,5,0,4,5,45
0,2,1,7,5,46
0,5,0,6,5,47
1,17,1,1,6,48
1,22,0,0,6,49
0,17,1,3,6,50
0,22,0,2,6,51
1,1,1,5,6,52
1,6,0,4,6,53
0,1,1,7,6,54
0,6,0,6,6,55
1,16,1,1,7,56
1,23,0,0,7,57
0,16,1,3,7,58
0,23,0,2,7,59
1,0,1,5,7,60
1,7,0,4,7,61
0,0,1,7,7,62
0,7,0,6,7,63
1,31,1,1,8,64
1,24,0,0,8,65
0,31,1,3,8,66
0,24,0,2,8,67
1,15,1,5,8,68
1,8,0,4,8,69
0,15,1,7,8,70
0,8,0,6,8,71
1,30,1,1,9,72
1,25,0,0,9,73
0,30,1,3,9,74
0,25,0,2,9,75
1,14,1,5,9,76
1,9,0,4,9,77
0,14,1,7,9,78
0,9,0,6,9,79
1,29,1,1,10,80
1,26,0,0,10,81
0,29,1,3,10,82
0,26,0,2,10,83
1,13,1,5,10,84
1,10,0,4,10,85
0,13,1,7,10,86
0,10,0,6,10,87
1,28,1,1,11,88
1,27,0,0,11,89
0,28,1,3,11,90
0,27,0,2,11,91
1,12,1,5,11,92
1,11,0,4,11,93
0,12,1,7,11,94
0,11,0,6,11,95
1,27,1,1,12,96
1,28,0,0,12,97
0,27,1,3,12,98
0,28,0,2,12,99
1,11,1,5,12,100
1,12,0,4,12,101
0,11,1,7,12,102
0,12,0,6,12,103
1,26,1,1,13,104
1,29,0,0,13,105
0,26,1,3,13,106
0,29,0,2,13,107
1,10,1,5,13,108
1,13,0,4,13,109
0,10,1,7,13,110
0,13,0,6,13,111
1,25,1,1,14,112
1,30,0,0,14,113
0,25,1,3,14,114
0,30,0,2,14,115
1,9,1,5,14,116
1,14,0,4,14,117
0,9,1,7,14,118
0,14,0,6,14,119
1,24,1,1,15,120
1,31,0,0,15,121
0,24,1,3,15,122
0,31,0,2,15,123
1,8,1,5,15,124
1,15,0,4,15,125
0,8,1,7,15,126
0,15,0,6,15,127
2,15,1,11,0,128
2,0,0,15,0,129
3,15,1,10,0,130
3,0,0,14,0,131
4,15,1,9,0,132
4,0,0,13,0,133
2,14,1,11,1,134
2,1,0,15,1,135
3,14,1,10,1,136
3,1,0,14,1,137
4,14,1,9,1,138
4,1,0,13,1,139
2,13,1,11,2,140
2,2,0,15,2,141
3,13,1,10,2,142
3,2,0,14,2,143
4,13,1,9,2,144
4,2,0,13,2,145
2,12,1,11,3,146
2,3,0,15,3,147
3,12,1,10,3,148
3,3,0,14,3,149
4,12,1,9,3,150
4,3,0,13,3,151
2,11,1,11,4,152
2,4,0,15,4,153
3,11,1,10,4,154
3,4,0,14,4,155
4,11,1,9,4,156
4,4,0,13,4,157
2,10,1,11,5,158
2,5,0,15,5,159
3,10,1,10,5,160
3,5,0,14,5,161
4,10,1,9,5,162
4,5,0,13,5,163
2,9,1,11,6,164
2,6,0,15,6,165
3,9,1,10,6,166
3,6,0,14,6,167
4,9,1,9,6,168
4,6,0,13,6,169
2,8,1,11,7,170
2,7,0,15,7,171
3,8,1,10,7,172
3,7,0,14,7,173
4,8,1,9,7,174
4,7,0,13,7,175
2,7,1,11,8,176
2,8,0,15,8,177
3,7,1,10,8,178
3,8,0,14,8,179
4,7,1,9,8,180
4,8,0,13,8,181
2,6,1,11,9,182
2,9,0,15,9,183
3,6,1,10,9,184
3,9,0,14,9,185
4,6,1,9,9,186
4,9,0,13,9,187
2,5,1,11,10,188
2,10,0,15,10,189
3,5,1,10,10,190
3,10,0,14,10,191
4,5,1,9,10,192
4,10,0,13,10,193
2,4,1,11,11,194
2,11,0,15,11,195
3,4,1,10,11,196
3,11,0,14,11,197
4,4,1,9,11,198
4,11,0,13,11,199
2,3,1,11,12,200
2,12,0,15,12,201
3,3,1,10,12,202
3,12,0,14,12,203
4,3,1,9,12,204
4,12,0,13,12,205
2,2,1,11,13,206
2,13,0,15,13,207
3,2,1,10,13,208
3,13,0,14,13,209
4,2,1,9,13,210
4,13,0,13,13,211
2,1,1,11,14,212
2,14,0,15,14,213
3,1,1,10,14,214
3,14,0,14,14,215
4,1,1,9,14,216
4,14,0,13,14,217
2,0,1,11,15,218
2,15,0,15,15,219
3,0,1,10,15,220
3,15,0,14,15,221
4,0,1,9,15,222
4,15,0,13,15,223
