CEE iTOF det-fee channel map,,,,,
Note that the first 3 lines will be passed,,,,,
detid,stripid,sideid,feeid,channelid,globalid
0,31,1,3,0,0
0,16,0,2,0,1
0,7,1,1,0,2
0,0,0,0,0,3
0,30,1,3,1,4
0,17,0,2,1,5
0,6,1,1,1,6
0,1,0,0,1,7
0,29,1,3,2,8
0,18,0,2,2,9
0,5,1,1,2,10
0,2,0,0,2,11
0,28,1,3,3,12
0,19,0,2,3,13
0,4,1,1,3,14
0,3,0,0,3,15
0,27,1,3,4,16
0,20,0,2,4,17
0,3,1,1,4,18
0,4,0,0,4,19
0,26,1,3,5,20
0,21,0,2,5,21
0,2,1,1,5,22
0,5,0,0,5,23
0,25,1,3,6,24
0,22,0,2,6,25
0,1,1,1,6,26
0,6,0,0,6,27
0,24,1,3,7,28
0,23,0,2,7,29
0,0,1,1,7,30
0,7,0,0,7,31
0,23,1,3,8,32
0,24,0,2,8,33
0,15,1,1,8,34
0,8,0,0,8,35
0,22,1,3,9,36
0,25,0,2,9,37
0,14,1,1,9,38
0,9,0,0,9,39
0,21,1,3,10,40
0,26,0,2,10,41
0,13,1,1,10,42
0,10,0,0,10,43
0,20,1,3,11,44
0,27,0,2,11,45
0,12,1,1,11,46
0,11,0,0,11,47
0,19,1,3,12,48
0,28,0,2,12,49
0,11,1,1,12,50
0,12,0,0,12,51
0,18,1,3,13,52
0,29,0,2,13,53
0,10,1,1,13,54
0,13,0,0,13,55
0,17,1,3,14,56
0,30,0,2,14,57
0,9,1,1,14,58
0,14,0,0,14,59
0,16,1,3,15,60
0,31,0,2,15,61
0,8,1,1,15,62
0,15,0,0,15,63
1,23,1,7,0,64
1,16,0,6,0,65
1,7,1,5,0,66
1,0,0,4,0,67
1,22,1,7,1,68
1,17,0,6,1,69
1,6,1,5,1,70
1,1,0,4,1,71
1,21,1,7,2,72
1,18,0,6,2,73
1,5,1,5,2,74
1,2,0,4,2,75
1,20,1,7,3,76
1,19,0,6,3,77
1,4,1,5,3,78
1,3,0,4,3,79
1,19,1,7,4,80
1,20,0,6,4,81
1,3,1,5,4,82
1,4,0,4,4,83
1,18,1,7,5,84
1,21,0,6,5,85
1,2,1,5,5,86
1,5,0,4,5,87
1,17,1,7,6,88
1,22,0,6,6,89
1,1,1,5,6,90
1,6,0,4,6,91
1,16,1,7,7,92
1,23,0,6,7,93
1,0,1,5,7,94
1,7,0,4,7,95
1,31,1,7,8,96
1,24,0,6,8,97
1,15,1,5,8,98
1,8,0,4,8,99
1,30,1,7,9,100
1,25,0,6,9,101
1,14,1,5,9,102
1,9,0,4,9,103
1,29,1,7,10,104
1,26,0,6,10,105
1,13,1,5,10,106
1,10,0,4,10,107
1,28,1,7,11,108
1,27,0,6,11,109
1,12,1,5,11,110
1,11,0,4,11,111
1,27,1,7,12,112
1,28,0,6,12,113
1,11,1,5,12,114
1,12,0,4,12,115
1,26,1,7,13,116
1,29,0,6,13,117
1,10,1,5,13,118
1,13,0,4,13,119
1,25,1,7,14,120
1,30,0,6,14,121
1,9,1,5,14,122
1,14,0,4,14,123
1,24,1,7,15,124
1,31,0,6,15,125
1,8,1,5,15,126
1,15,0,4,15,127
