CEE iTOF det-fee channel map,,,,,
Note that the first 3 lines will be passed,,,,,
detid,stripid,sideid,feeid,channelid,globalid
3,31,1,26,0,0
3,24,0,21,0,1
3,15,1,25,0,2
3,8,0,20,0,3
3,30,1,26,1,4
3,25,0,21,1,5
3,14,1,25,1,6
3,9,0,20,1,7
3,29,1,26,2,8
3,26,0,21,2,9
3,13,1,25,2,10
3,10,0,20,2,11
3,28,1,26,3,12
3,27,0,21,3,13
3,12,1,25,3,14
3,11,0,20,3,15
3,27,1,26,4,16
3,28,0,21,4,17
3,11,1,25,4,18
3,12,0,20,4,19
3,26,1,26,5,20
3,29,0,21,5,21
3,10,1,25,5,22
3,13,0,20,5,23
3,25,1,26,6,24
3,30,0,21,6,25
3,9,1,25,6,26
3,14,0,20,6,27
3,24,1,26,7,28
3,31,0,21,7,29
3,8,1,25,7,30
3,15,0,20,7,31
3,23,1,26,8,32
3,16,0,21,8,33
3,7,1,25,8,34
3,0,0,20,8,35
3,22,1,26,9,36
3,17,0,21,9,37
3,6,1,25,9,38
3,1,0,20,9,39
3,21,1,26,10,40
3,18,0,21,10,41
3,5,1,25,10,42
3,2,0,20,10,43
3,20,1,26,11,44
3,19,0,21,11,45
3,4,1,25,11,46
3,3,0,20,11,47
3,19,1,26,12,48
3,20,0,21,12,49
3,3,1,25,12,50
3,4,0,20,12,51
3,18,1,26,13,52
3,21,0,21,13,53
3,2,1,25,13,54
3,5,0,20,13,55
3,17,1,26,14,56
3,22,0,21,14,57
3,1,1,25,14,58
3,6,0,20,14,59
3,16,1,26,15,60
3,23,0,21,15,61
3,0,1,25,15,62
3,7,0,20,15,63
4,31,1,15,0,64
4,24,0,10,0,65
4,15,1,14,0,66
4,8,0,9,0,67
4,30,1,15,1,68
4,25,0,10,1,69
4,14,1,14,1,70
4,9,0,9,1,71
4,29,1,15,2,72
4,26,0,10,2,73
4,13,1,14,2,74
4,10,0,9,2,75
4,28,1,15,3,76
4,27,0,10,3,77
4,12,1,14,3,78
4,11,0,9,3,79
4,27,1,15,4,80
4,28,0,10,4,81
4,11,1,14,4,82
4,12,0,9,4,83
4,26,1,15,5,84
4,29,0,10,5,85
4,10,1,14,5,86
4,13,0,9,5,87
4,25,1,15,6,88
4,30,0,10,6,89
4,9,1,14,6,90
4,14,0,9,6,91
4,24,1,15,7,92
4,31,0,10,7,93
4,8,1,14,7,94
4,15,0,9,7,95
4,23,1,15,8,96
4,16,0,10,8,97
4,7,1,14,8,98
4,0,0,9,8,99
4,22,1,15,9,100
4,17,0,10,9,101
4,6,1,14,9,102
4,1,0,9,9,103
4,21,1,15,10,104
4,18,0,10,10,105
4,5,1,14,10,106
4,2,0,9,10,107
4,20,1,15,11,108
4,19,0,10,11,109
4,4,1,14,11,110
4,3,0,9,11,111
4,19,1,15,12,112
4,20,0,10,12,113
4,3,1,14,12,114
4,4,0,9,12,115
4,18,1,15,13,116
4,21,0,10,13,117
4,2,1,14,13,118
4,5,0,9,13,119
4,17,1,15,14,120
4,22,0,10,14,121
4,1,1,14,14,122
4,6,0,9,14,123
4,16,1,15,15,124
4,23,0,10,15,125
4,0,1,14,15,126
4,7,0,9,15,127
5,31,1,6,0,128
5,24,0,1,0,129
5,15,1,5,0,130
5,8,0,0,0,131
5,30,1,6,1,132
5,25,0,1,1,133
5,14,1,5,1,134
5,9,0,0,1,135
5,29,1,6,2,136
5,26,0,1,2,137
5,13,1,5,2,138
5,10,0,0,2,139
5,28,1,6,3,140
5,27,0,1,3,141
5,12,1,5,3,142
5,11,0,0,3,143
5,27,1,6,4,144
5,28,0,1,4,145
5,11,1,5,4,146
5,12,0,0,4,147
5,26,1,6,5,148
5,29,0,1,5,149
5,10,1,5,5,150
5,13,0,0,5,151
5,25,1,6,6,152
5,30,0,1,6,153
5,9,1,5,6,154
5,14,0,0,6,155
5,24,1,6,7,156
5,31,0,1,7,157
5,8,1,5,7,158
5,15,0,0,7,159
5,23,1,6,8,160
5,16,0,1,8,161
5,7,1,5,8,162
5,0,0,0,8,163
5,22,1,6,9,164
5,17,0,1,9,165
5,6,1,5,9,166
5,1,0,0,9,167
5,21,1,6,10,168
5,18,0,1,10,169
5,5,1,5,10,170
5,2,0,0,10,171
5,20,1,6,11,172
5,19,0,1,11,173
5,4,1,5,11,174
5,3,0,0,11,175
5,19,1,6,12,176
5,20,0,1,12,177
5,3,1,5,12,178
5,4,0,0,12,179
5,18,1,6,13,180
5,21,0,1,13,181
5,2,1,5,13,182
5,5,0,0,13,183
5,17,1,6,14,184
5,22,0,1,14,185
5,1,1,5,14,186
5,6,0,0,14,187
5,16,1,6,15,188
5,23,0,1,15,189
5,0,1,5,15,190
5,7,0,0,15,191
18,23,1,129,0,192
18,16,0,134,0,193
18,7,1,128,0,194
18,0,0,135,0,195
18,22,1,129,1,196
18,17,0,134,1,197
18,6,1,128,1,198
18,1,0,135,1,199
18,21,1,129,2,200
18,18,0,134,2,201
18,5,1,128,2,202
18,2,0,135,2,203
18,20,1,129,3,204
18,19,0,134,3,205
18,4,1,128,3,206
18,3,0,135,3,207
